127.0.0.1 - - [07/Nov/2018:19:26:29 -0200] "GET / HTTP/1.1" 404 951
192.168.43.1 - - [07/Nov/2018:19:26:49 -0200] "GET /ProjetoWeb/listarFuncionarios.jsp HTTP/1.1" 200 82
192.168.43.1 - - [07/Nov/2018:19:26:49 -0200] "GET /ProjetoWeb/listarAreas.jsp HTTP/1.1" 200 70
192.168.43.1 - - [07/Nov/2018:19:26:50 -0200] "GET /ProjetoWeb/listarEscala.jsp HTTP/1.1" 200 370
192.168.43.1 - - [07/Nov/2018:19:26:50 -0200] "GET /ProjetoWeb/listarRonda.jsp HTTP/1.1" 200 196
192.168.43.1 - - [07/Nov/2018:19:42:33 -0200] "GET /ProjetoWeb/listarFuncionarios.jsp HTTP/1.1" 200 82
192.168.43.1 - - [07/Nov/2018:19:42:33 -0200] "GET /ProjetoWeb/listarAreas.jsp HTTP/1.1" 200 70
192.168.43.1 - - [07/Nov/2018:19:42:33 -0200] "GET /ProjetoWeb/listarEscala.jsp HTTP/1.1" 200 370
192.168.43.1 - - [07/Nov/2018:19:42:34 -0200] "GET /ProjetoWeb/listarRonda.jsp HTTP/1.1" 200 196
192.168.43.1 - - [07/Nov/2018:19:44:30 -0200] "GET /ProjetoWeb/listarFuncionarios.jsp HTTP/1.1" 200 82
192.168.43.1 - - [07/Nov/2018:19:44:30 -0200] "GET /ProjetoWeb/listarAreas.jsp HTTP/1.1" 200 70
192.168.43.1 - - [07/Nov/2018:19:44:30 -0200] "GET /ProjetoWeb/listarEscala.jsp HTTP/1.1" 200 370
192.168.43.1 - - [07/Nov/2018:19:44:30 -0200] "GET /ProjetoWeb/listarRonda.jsp HTTP/1.1" 200 196
